;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;24.10.;aufsteigend;2;25;29;31;34;42;ZZ;35;6er;JP;;754.346,10;5er + ZZ;2;à;51.861,20;5er;70;à;1.616,40;4er + ZZ;162;à;244,40;;;;;;
;;gezogen;34;2;42;25;29;31;ZZ;35;4er;3.568;à;52,30;3er + ZZ;4.419;à;20,40;3er;62.388;à;5,30;ZZ;208.161;à;1,10;;;;;;
So;28.10.;aufsteigend;1;24;27;28;42;43;ZZ;3;6er;1;à;1.862.179,50;5er + ZZ;1;à;152.327,00;5er;138;à;1.204,10;4er + ZZ;317;à;183,40;;;;;;
;;gezogen;1;42;28;24;27;43;ZZ;3;4er;5.863;à;46,70;3er + ZZ;8.772;à;15,10;3er;97.709;à;4,90;ZZ;349.341;à;1,10;;;;;;
Mi;31.10.;aufsteigend;5;9;32;33;41;45;ZZ;14;6er;JP;;796.884,50;5er + ZZ;1;à;109.571,60;5er;92;à;1.299,20;4er + ZZ;303;à;138,00;;;;;;
;;gezogen;45;33;9;41;32;5;ZZ;14;4er;4.733;à;41,60;3er + ZZ;6.538;à;14,60;3er;77.674;à;4,50;ZZ;214.021;à;1,10;;;;;;
So;04.11.;aufsteigend;2;31;32;35;40;43;ZZ;10;6er;1;à;1.930.700,10;5er + ZZ;7;à;22.271,30;5er;105;à;1.619,70;4er + ZZ;280;à;212,50;;;;;;
;;gezogen;31;32;40;43;2;35;ZZ;10;4er;5.408;à;51,80;3er + ZZ;8.365;à;16,20;3er;93.654;à;5,30;ZZ;365.182;à;1,10;;;;;;
Mi;07.11.;aufsteigend;13;14;20;23;26;34;ZZ;39;6er;1;à;1.000.000,00;5er + ZZ;7;à;15.244,00;5er;79;à;1.473,50;4er + ZZ;301;à;135,30;;;;;;
;;gezogen;26;23;13;14;34;20;ZZ;39;4er;4.221;à;45,50;3er + ZZ;5.896;à;15,70;3er;70.832;à;4,80;ZZ;218.937;à;1,10;;;;;;
So;11.11.;aufsteigend;2;10;14;20;33;35;ZZ;11;6er;1;à;100.000,00;5er + ZZ;2;à;62.286,90;5er;149;à;912,00;4er + ZZ;360;à;132,10;;;;;;
;;gezogen;33;10;20;2;14;35;ZZ;11;4er;5.853;à;38,30;3er + ZZ;7.728;à;14,00;3er;88.828;à;4,40;ZZ;297.874;à;1,10;;;;;;
Mi;14.11.;aufsteigend;6;16;27;30;35;36;ZZ;12;6er;JP;;739.273,40;5er + ZZ;4;à;25.412,50;5er;92;à;1.205,30;4er + ZZ;271;à;143,20;;;;;;
;;gezogen;6;27;30;35;16;36;ZZ;12;4er;4.247;à;43,00;3er + ZZ;7.065;à;12,50;3er;68.887;à;4,70;ZZ;224.509;à;1,10;;;;;;
So;18.11.;aufsteigend;5;21;22;29;32;41;ZZ;9;6er;1;à;1.908.958,70;5er + ZZ;7;à;22.975,90;5er;160;à;1.096,50;4er + ZZ;580;à;105,80;;;;;;
;;gezogen;21;22;41;32;5;29;ZZ;9;4er;7.362;à;39,30;3er + ZZ;11.757;à;11,90;3er;114.772;à;4,40;ZZ;363.949;à;1,10;;;;;;
Mi;21.11.;aufsteigend;10;12;16;20;30;33;ZZ;43;6er;JP;;734.163,30;5er + ZZ;6;à;16.824,50;5er;112;à;983,20;4er + ZZ;269;à;143,20;;;;;;
;;gezogen;33;10;20;16;30;12;ZZ;43;4er;5.373;à;33,80;3er + ZZ;5.519;à;15,90;3er;78.376;à;4,10;ZZ;201.398;à;1,10;;;;;;
So;25.11.;aufsteigend;5;7;16;21;24;28;ZZ;2;6er;1;à;1.902.960,90;5er + ZZ;4;à;40.177,40;5er;207;à;846,90;4er + ZZ;526;à;116,60;;;;;;
;;gezogen;24;21;28;16;7;5;ZZ;2;4er;8.146;à;35,50;3er + ZZ;11.543;à;12,10;3er;127.600;à;4,00;ZZ;323.159;à;1,10;;;;;;
Mi;28.11.;aufsteigend;4;9;10;18;28;34;ZZ;26;6er;JP;;746.507,70;5er + ZZ;1;à;102.644,80;5er;112;à;999,70;4er + ZZ;301;à;130,20;;;;;;
;;gezogen;10;9;28;18;4;34;ZZ;26;4er;5.052;à;36,50;3er + ZZ;7.054;à;12,60;3er;78.356;à;4,10;ZZ;213.074;à;1,10;;;;;;
So;02.12.;aufsteigend;8;28;34;35;41;44;ZZ;6;6er;2 JP;;1.937.637,50;5er + ZZ;3;à;54.593,40;5er;115;à;1.553,60;4er + ZZ;336;à;186,10;;;;;;
;;gezogen;44;34;28;41;35;8;ZZ;6;4er;6.326;à;46,60;3er + ZZ;8.276;à;17,20;3er;107.419;à;4,80;ZZ;382.594;à;1,10;;;;;;
Mi;05.12.;aufsteigend;5;6;18;19;26;42;ZZ;28;6er;3 JP;;3.172.474,80;5er + ZZ;6;à;28.298,30;5er;147;à;1.260,00;4er + ZZ;418;à;155,00;;;;;;
;;gezogen;18;6;19;26;42;5;ZZ;28;4er;7.732;à;39,50;3er + ZZ;10.539;à;14,00;3er;124.093;à;4,30;ZZ;359.675;à;1,10;;;;;;
So;09.12.;aufsteigend;8;11;15;20;23;30;ZZ;5;6er;2;à;2.356.415,40;5er + ZZ;9;à;23.533,20;5er;253;à;913,20;4er + ZZ;767;à;105,40;;;;;;
;;gezogen;30;23;8;20;11;15;ZZ;5;4er;10.678;à;35,70;3er + ZZ;16.476;à;11,20;3er;156.371;à;4,30;ZZ;459.726;à;1,10;;;;;;
Mi;12.12.;aufsteigend;17;20;22;23;27;35;ZZ;4;6er;1;à;1.000.000,00;5er + ZZ;3;à;35.292,60;5er;98;à;1.178,60;4er + ZZ;263;à;153,70;;;;;;
;;gezogen;27;22;17;20;35;23;ZZ;4;4er;4.668;à;40,80;3er + ZZ;6.341;à;14,50;3er;74.855;à;4,50;ZZ;230.988;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;16.12.;aufsteigend;6;12;17;24;27;30;ZZ;44;6er;1;à;1.000.000,00;5er + ZZ;2;à;62.570,10;5er;146;à;935,00;4er + ZZ;286;à;167,00;;;;;;
;;gezogen;12;24;6;27;17;30;ZZ;44;4er;7.541;à;29,80;3er + ZZ;7.097;à;15,30;3er;100.658;à;3,90;ZZ;238.909;à;1,10;;;;;;
Mi;19.12.;aufsteigend;5;7;15;17;25;31;ZZ;24;6er;JP;;775.634,50;5er + ZZ;2;à;53.324,80;5er;134;à;868,20;4er + ZZ;284;à;143,30;;;;;;
;;gezogen;7;25;17;15;31;5;ZZ;24;4er;5.687;à;33,70;3er + ZZ;6.742;à;13,80;3er;83.975;à;4,00;ZZ;215.058;à;1,10;;;;;;
So;23.12.;aufsteigend;7;8;9;17;23;43;ZZ;25;6er;2 JP;;2.083.103,00;5er + ZZ;4;à;44.944,20;5er;185;à;1.060,10;4er + ZZ;397;à;172,90;;;;;;
;;gezogen;7;23;17;9;8;43;ZZ;25;4er;8.616;à;37,50;3er + ZZ;11.026;à;14,20;3er;139.807;à;4,10;ZZ;334.664;à;1,10;;;;;;
Mi;26.12.;aufsteigend;8;16;24;27;39;40;ZZ;29;6er;3 JP;;2.953.521,90;5er + ZZ;4;à;29.920,60;5er;160;à;816,00;4er + ZZ;340;à;134,40;;;;;;
;;gezogen;8;40;27;39;16;24;ZZ;29;4er;6.412;à;33,50;3er + ZZ;7.571;à;13,70;3er;87.806;à;4,30;ZZ;246.141;à;1,10;;;;;;
So;30.12.;aufsteigend;3;5;17;21;25;43;ZZ;35;6er;1;à;4.694.128,10;5er + ZZ;8;à;29.916,60;5er;245;à;1.065,60;4er + ZZ;687;à;133,00;;;;;;
;;gezogen;43;25;17;5;3;21;ZZ;35;4er;12.673;à;33,90;3er + ZZ;14.909;à;14,00;3er;185.917;à;4,10;ZZ;463.662;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;02.01.;aufsteigend;11;15;34;36;40;43;ZZ;5;6er;1;à;1.000.000,00;5er + ZZ;JP; ;109.913,20;5er;76;à;1.577,70;4er + ZZ;252;à;166,50;;;;;;
;;gezogen;11;15;40;43;36;34;ZZ;5;4er;3.960;à;49,90;3er + ZZ;5.869;à;16,30;3er;67.929;à;5,10;ZZ;268.304;à;1,10;;;;;;
So;06.01.;aufsteigend;7;15;21;28;35;39;ZZ;34;6er;2;à;500.000,00;5er + ZZ;6;à;39.649,30;5er;182;à;767,10;4er + ZZ;264;à;185,00;;;;;;
;;gezogen;15;35;21;7;39;28;ZZ;34;4er;8.209;à;28,00;3er + ZZ;7.200;à;15,50;3er;97.161;à;4,20;ZZ;246.724;à;1,10;;;;;;
Mi;09.01.;aufsteigend;11;12;22;28;34;45;ZZ;3;6er;JP;;758.238,50;5er + ZZ;5;à;20.851,50;5er;78;à;1.458,10;4er + ZZ;301;à;132,20;;;;;;
;;gezogen;22;45;12;34;28;11;ZZ;3;4er;4.122;à;45,50;3er + ZZ;7.187;à;12,60;3er;71.881;à;4,60;ZZ;242.093;à;1,10;;;;;;
So;13.01.;aufsteigend;11;16;17;18;27;36;ZZ;20;6er;2JP;;1.955.142,40;5er + ZZ;3;à;54.858,00;5er;136;à;1.320,10;4er + ZZ;372;à;168,90;;;;;;
;;gezogen;17;16;11;36;18;27;ZZ;20;4er;7.262;à;40,70;3er + ZZ;9.020;à;15,90;3er;117.374;à;4,40;ZZ;334.138;à;1,10;;;;;;
Mi;16.01.;aufsteigend;20;23;26;27;36;42;ZZ;10;6er;1;à;3.217.460,20;5er + ZZ;8;à;21.696,00;5er;119;à;1.591,10;4er + ZZ;380;à;174,30;;;;;;
;;gezogen;23;26;36;20;27;42;ZZ;10;4er;6.459;à;48,30;3er + ZZ;10.411;à;14,50;3er;112.038;à;4,90;ZZ;383.047;à;1,10;;;;;;
So;20.01.;aufsteigend;4;8;27;34;36;44;ZZ;40;6er;1;à;1.000.000,00;5er + ZZ;6;à;20.103,00;5er;101;à;1.302,80;4er + ZZ;240;à;191,80;;;;;;
;;gezogen;4;36;8;34;27;44;ZZ;40;4er;5.279;à;41,10;3er + ZZ;7.013;à;15,00;3er;85.639;à;4,50;ZZ;234.341;à;1,10;;;;;;
Mi;23.01.;aufsteigend;4;20;30;32;40;41;ZZ;44;6er;JP; ;731.048,50;5er + ZZ;2;à;50.259,50;5er;82;à;1.337,20;4er + ZZ;187;à;205,20;;;;;;
;;gezogen;32;41;4;30;20;40;ZZ;44;4er;4.358;à;41,50;3er + ZZ;5.410;à;16,20;3er;65.989;à;4,80;ZZ;195.794;à;1,10;;;;;;
So;27.01.;aufsteigend;11;16;26;35;36;39;ZZ;2;6er;1;à;1.879.743,00;5er + ZZ;5;à;31.589,00;5er;162;à;1.063,60;4er + ZZ;446;à;135,20;;;;;;
;;gezogen;35;26;16;36;39;11;ZZ;2;4er;7.293;à;38,90;3er + ZZ;9.643;à;14,20;3er;112.753;à;4,40;ZZ;349.686;à;1,10;;;;;;
Mi;30.01.;aufsteigend;1;15;20;32;35;45;ZZ;43;6er;1;à;1.000.000,00;5er + ZZ;1;à;100.415,10;5er;85;à;1.288,70;4er + ZZ;203;à;188,80;;;;;;
;;gezogen;32;15;45;35;1;20;ZZ;43;4er;4.211;à;42,90;3er + ZZ;5.009;à;17,40;3er;67.205;à;4,70;ZZ;205.446;à;1,10;;;;;;
So;03.02.;aufsteigend;4;13;16;19;29;38;ZZ;35;6er;1;à;1.000.000,00;5er + ZZ;2;à;63.229,20;5er;130;à;1.061,10;4er + ZZ;246;à;196,20;;;;;;
;;gezogen;4;38;13;29;19;16;ZZ;35;4er;5.961;à;38,10;3er + ZZ;6.399;à;17,20;3er;91.454;à;4,40;ZZ;249.856;à;1,10;;;;;;
Mi;06.02.;aufsteigend;7;9;10;11;18;45;ZZ;12;6er;JP;;721.087,30;5er + ZZ;5;à;19.829,90;5er;128;à;845,00;4er + ZZ;467;à;81,00;;;;;;
;;gezogen;11;18;9;10;7;45;ZZ;12;4er;5.089;à;35,00;3er + ZZ;7.009;à;12,30;3er;77.676;à;4,00;ZZ;207.687;à;1,10;;;;;;
So;10.02.;aufsteigend;9;10;31;42;44;45;ZZ;6;6er;2JP;;1.885.496,40;5er + ZZ;6;à;26.684,30;5er;113;à;1.545,60;4er + ZZ;327;à;186,90;;;;;;
;;gezogen;45;44;42;9;31;10;ZZ;6;4er;5.955;à;48,30;3er + ZZ;9.101;à;15,30;3er;102.783;à;4,90;ZZ;353.657;à;1,10;;;;;;
Mi;13.02.;aufsteigend;1;7;20;34;35;44;ZZ;42;6er;3JP;;3.108.064,20;5er + ZZ;2;à;84.051,50;5er;132;à;1.389,20;4er + ZZ;284;à;226,00;;;;;;
;;gezogen;7;34;1;35;20;44;ZZ;42;4er;6.597;à;45,80;3er + ZZ;8.269;à;17,70;3er;108.497;à;4,90;ZZ;330.003;à;1,10;;;;;;
So;17.02.;aufsteigend;4;14;21;38;41;42;ZZ;43;6er;1;à;4.784.043,30;5er + ZZ;5;à;46.089,40;5er;205;à;1.226,30;4er + ZZ;457;à;192,50;;;;;;
;;gezogen;41;4;42;38;14;21;ZZ;43;4er;9.489;à;43,70;3er + ZZ;11.801;à;17,00;3er;155.874;à;4,70;ZZ;469.762;à;1,10;;;;;;
Mi;20.02.;aufsteigend;4;7;13;31;34;41;ZZ;20;6er;JP;;760.580,30;5er + ZZ;JP;à;104.579,70;5er;97;à;1.176,10;4er + ZZ;257;à;155,30;;;;;;
;;gezogen;41;7;31;4;34;13;ZZ;20;4er;4.435;à;42,40;3er + ZZ;5.860;à;15,50;3er;71.923;à;4,60;ZZ;215.842;à;1,10;;;;;;
So;24.02.;aufsteigend;12;13;25;27;30;45;ZZ;42;6er;2JP;;1.946.692,30;5er + ZZ;2;à;133.835,00;5er;132;à;1.347,80;4er + ZZ;326;à;191,00;;;;;;
;;gezogen;25;27;12;13;45;30;ZZ;42;4er;6.731;à;43,60;3er + ZZ;8.295;à;17,10;3er;112.527;à;4,60;ZZ;322.475;à;1,10;;;;;;
Mi;27.02.;aufsteigend;7;9;12;27;28;39;ZZ;25;6er;1;;3.228.804,50;5er + ZZ;5;à;35.258,00;5er;186;à;1.033,90;4er + ZZ;450;à;149,50;;;;;;
;;gezogen;39;9;27;28;7;12;ZZ;25;4er;9.803;à;32,30;3er + ZZ;11.045;à;13,90;3er;146.762;à;3,80;ZZ;328.744;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So.;03.03.;aufsteigend;11;16;20;31;40;43;ZZ;6;6er;JP;;935.788,60;5er + ZZ;3;à;42.890,30;5er;117;à;1.199,70;4er + ZZ;283;à;173,60;;;;;;
;;gezogen;43;11;16;20;31;40;ZZ;6;4er;4.871;à;47,50;3er + ZZ;8.297;à;13,50;3er;82.793;à;4,90;ZZ;296.949;à;1,10;;;;;;
Mi;06.03.;aufsteigend;3;15;18;22;27;28;ZZ;25;6er;1;à;2.021.878,60;5er + ZZ;5;à;29.867,40;5er;152;à;1.071,70;4er + ZZ;377;à;151,20;;;;;;
;;gezogen;3;27;18;22;28;15;ZZ;25;4er;7.354;à;36,50;3er + ZZ;8.712;à;14,90;3er;115.623;à;4,10;ZZ;284.956;à;1,10;;;;;;
So;10.03.;aufsteigend;16;24;25;26;27;44;ZZ;12;6er;1;à;1.000.000,00;5er + ZZ;5;à;25.007,80;5er;109;à;1.251,40;4er + ZZ;254;à;187,90;;;;;;
;;gezogen;44;26;24;25;16;27;ZZ;12;4er;5.086;à;44,20;3er + ZZ;6.944;à;15,70;3er;83.353;à;4,80;ZZ;272.361;à;1,10;;;;;;
Mi;13.03.;aufsteigend;11;24;31;38;41;43;ZZ;21;6er;JP;;765.890,50;5er + ZZ;4;à;26.327,40;5er;85;à;1.351,50;4er + ZZ;275;à;146,20;;;;;;
;;gezogen;24;41;38;43;11;31;ZZ;21;4er;3.753;à;50,50;3er + ZZ;6.244;à;14,70;3er;63.519;à;5,30;ZZ;236.951;à;1,10;;;;;;
So;17.03.;aufsteigend;2;8;11;13;29;31;ZZ;24;6er;1;à;1.942.933,80;5er + ZZ;1;à;161.843,40;5er;165;à;1.070,00;4er + ZZ;384;à;160,90;;;;;;
;;gezogen;29;8;11;13;31;2;ZZ;24;4er;7.841;à;37,10;3er + ZZ;9.959;à;14,10;3er;121.927;à;4,20;ZZ;323.720;à;1,10;;;;;;
Mi;20.03.;aufsteigend;1;6;21;23;40;41;ZZ;3;6er;2;à;500.000,00;5er + ZZ;1;à;99.843,10;5er;72;à;1.512,70;4er + ZZ;236;à;161,50;;;;;;
;;gezogen;6;21;40;23;1;41;ZZ;3;4er;4.019;à;44,70;3er + ZZ;6.329;à;13,70;3er;66.116;à;4,80;ZZ;238.831;à;1,10;;;;;;
So;24.03.;aufsteigend;14;21;35;39;42;44;ZZ;12;6er;JP; ;876.190,50;5er + ZZ;1;à;120.476,10;5er;104;à;1.263,70;4er + ZZ;270;à;170,30;;;;;;
;;gezogen;39;21;35;42;44;14;ZZ;12;4er;6.552;à;33,00;3er + ZZ;6.214;à;16,90;3er;79.561;à;4,80;ZZ;288.261;à;1,10;;;;;;
Mi;27.03.;aufsteigend;2;9;16;22;24;43;ZZ;23;6er;2JP; ;1.857.877,20;5er + ZZ;JP;à;134.981,90;5er;112;à;1.314,70;4er + ZZ;271;à;190,10;;;;;;
;;gezogen;24;9;43;2;22;16;ZZ;23;4er;5.879;à;41,30;3er + ZZ;7.642;à;15,40;3er;96.473;à;4,40;ZZ;280.743;à;1,10;;;;;;
So;31.03.;aufsteigend;5;8;21;23;24;38;ZZ;3;6er;3JP; ;3.302.312,80;5er + ZZ;5;à;66.718,30;5er;222;à;975,90;4er + ZZ;583;à;130,00;;;;;;
;;gezogen;38;8;23;24;5;21;ZZ;3;4er;8.952;à;39,90;3er + ZZ;13.335;à;12,90;3er;142.184;à;4,40;ZZ;450.987;à;1,10;;;;;;
Mi;03.04.;aufsteigend;4;16;19;21;30;35;ZZ;39;6er;1;à;4.752.644,80;5er + ZZ;1;à;199.420,60;5er;176;à;1.236,00;4er + ZZ;444;à;171,40;;;;;;
;;gezogen;4;16;19;30;21;35;ZZ;39;4er;8.303;à;43,20;3er + ZZ;11.291;à;15,40;3er;136.254;à;4,60;ZZ;410.209;à;1,10;;;;;;
So;07.04.;aufsteigend;2;10;16;37;43;44;ZZ;20;6er;JP; ;930.369,70;5er + ZZ;1;à;127.925,80;5er;78;à;1.789,10;4er + ZZ;244;à;200,10;;;;;;
;;gezogen;37;44;16;2;43;10;ZZ;20;4er;4.536;à;50,70;3er + ZZ;6.764;à;16,50;3er;80.346;à;5,00;ZZ;257.379;à;1,10;;;;;;
Mi;10.04.;aufsteigend;10;14;15;16;25;42;ZZ;17;6er;2JP; ;2.004.616,20;5er + ZZ;4;à;36.927,20;5er;111;à;1.451,60;4er + ZZ;302;à;186,70;;;;;;
;;gezogen;16;14;15;42;10;25;ZZ;17;4er;5.202;à;51,10;3er + ZZ;7.786;à;16,50;3er;94.909;à;4,90;ZZ;350.976;à;1,10;;;;;;
So;14.04.;aufsteigend;3;9;10;11;13;41;ZZ;37;6er;1;à;3.443.325,00;5er + ZZ;9;à;21.980,20;5er;178;à;1.212,30;4er + ZZ;445;à;169,70;;;;;;
;;gezogen;13;41;9;3;10;11;ZZ;37;4er;10.040;à;35,40;3er + ZZ;10.723;à;16,10;3er;159.500;à;3,90;ZZ;363.856;à;1,10;;;;;;
Mi;17.04.;aufsteigend;6;16;22;25;30;38;ZZ;40;6er;JP;;724.522,30;5er + ZZ;2;à;49.810,90;5er;94;à;1.156,10;4er + ZZ;241;à;157,80;;;;;;
;;gezogen;30;38;25;22;6;16;ZZ;40;4er;3.973;à;45,10;3er + ZZ;5.260;à;16,50;3er;64.354;à;4,90;ZZ;196.014;à;1,10;;;;;;
So;21.04.;aufsteigend;3;19;26;40;43;45;ZZ;30;6er;1;à;1.890.897,70;5er + ZZ;3;à;53.458,80;5er;159;à;1.100,30;4er + ZZ;366;à;167,30;;;;;;
;;gezogen;40;43;26;45;3;19;ZZ;30;4er;6.929;à;41,60;3er + ZZ;9.206;à;15,20;3er;117.330;à;4,30;ZZ;316.782;à;1,10;;;;;;
Mi;24.04.;aufsteigend;25;26;27;28;37;43;ZZ;33;6er;JP;;715.719,30;5er + ZZ;2;à;49.205,70;5er;109;à;984,90;4er + ZZ;183;à;205,30;;;;;;
;;gezogen;27;26;37;25;43;28;ZZ;33;4er;4.157;à;42,60;3er + ZZ;4.930;à;17,40;3er;61.447;à;5,10;ZZ;216.201;à;1,10;;;;;;
So;28.04.;aufsteigend;11;12;14;27;34;44;ZZ;6;6er;2;à;926.126,30;5er + ZZ;6;à;26.045,50;5er;128;à;1.331,80;4er + ZZ;374;à;159,90;;;;;;
;;gezogen;34;14;27;11;44;12;ZZ;6;4er;6.706;à;41,90;3er + ZZ;9.523;à;14,30;3er;109.730;à;4,50;ZZ;337.975;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;01.05.;aufsteigend;3;4;6;11;35;45;ZZ;32;6er;1;à;1.000.000,00;5er + ZZ;2;à;46.094,00;5er;85;à;1.183,10;4er + ZZ;191;à;184,20;;;;;;
;;gezogen;4;3;35;6;45;11;ZZ;32;4er;4.263;à;38,90;3er + ZZ;4.680;à;17,10;3er;72.063;à;4,00;ZZ;176.413;à;1,10;;;;;;
So;05.05.;aufsteigend;1;2;9;19;27;43;ZZ;5;6er;1;à;1.000.000,00;5er + ZZ;10;à;12.383,90;5er;152;à;888,80;4er + ZZ;530;à;89,20;;;;;;
;;gezogen;43;19;1;27;2;9;ZZ;5;4er;6.459;à;34,50;3er + ZZ;11.001;à;9,80;3er;96.045;à;4,10;ZZ;272.369;à;1,10;;;;;;
Mi;08.05.;aufsteigend;1;5;11;15;39;45;ZZ;19;6er;2;à;500.000,00;5er + ZZ;5;à;20.387,50;5er;113;à;984,10;4er + ZZ;369;à;105,40;;;;;;
;;gezogen;39;1;5;15;11;45;ZZ;19;4er;4.994;à;36,70;3er + ZZ;7.728;à;11,50;3er;76.847;à;4,20;ZZ;208.314;à;1,10;;;;;;
So;12.05.;aufsteigend;12;21;28;29;32;40;ZZ;30;6er;JP;;831.941,80;5er + ZZ;3;à;38.130,60;5er;128;à;974,90;4er + ZZ;228;à;191,50;;;;;;
;;gezogen;28;12;29;32;21;40;ZZ;30;4er;5.362;à;38,40;3er + ZZ;6.372;à;15,60;3er;81.919;à;4,40;ZZ;228.280;à;1,10;;;;;;
Mi;15.05.;aufsteigend;6;22;27;36;42;43;ZZ;7;6er;1;à;1.802.986,40;5er + ZZ;6;à;22.253,10;5er;136;à;1.071,00;4er + ZZ;334;à;152,60;;;;;;
;;gezogen;6;42;43;22;36;27;ZZ;7;4er;5.854;à;41,00;3er + ZZ;8.176;à;14,20;3er;91.580;à;4,60;ZZ;316.701;à;1,10;;;;;;
